t1,t2,gazeXYPix_1,gazeXYPix_2,gazeXYDeg_1,gazeXYDeg_2
1711282364.50981,1032930369,-282,682,-4.76581194724357,11.5258288936884
1711282364.51847,1032930377,-283,680,-4.78271198960968,11.4920288089561
1711282364.52838,1032930387,-284,684,-4.7996120319758,11.5596289784206
1711282364.53832,1032930397,-295,701,-4.98551249800303,11.8469296986445
1711282364.54821,1032930407,-288,694,-4.86721220144024,11.7286294020817
1711282364.55912,1032930418,-284,687,-4.7996120319758,11.6103291055189
1711282364.56887,1032930428,-285,689,-4.81651207434191,11.6441291902511
1711282364.57885,1032930438,-283,684,-4.78271198960968,11.5596289784206
1711282364.58887,1032930448,-282,681,-4.76581194724357,11.5089288513222
1711282364.59878,1032930458,-283,683,-4.78271198960968,11.5427289360545
1711282364.60856,1032930467,-280,680,-4.73201186251135,11.4920288089561
1711282364.61834,1032930477,-272,668,-4.59681152358245,11.2892283005628
1711282364.62809,1032930487,-267,658,-4.51231131175189,11.1202278769017
1711282364.63906,1032930498,-260,641,-4.39401101518911,10.8329271566778
1711282364.64879,1032930508,-251,612,-4.2419106338941,10.3428259280605
1711282364.65857,1032930517,-177,523,-2.99130749880182,8.83872215747655
1711282364.66827,1032930527,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.67812,1032930537,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.68908,1032930548,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.69871,1032930558,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.70833,1032930567,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.71918,1032930578,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.72883,1032930588,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.73846,1032930597,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.74809,1032930607,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.75894,1032930618,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.76857,1032930627,-2560,1440,-43.2641084572466,24.3360610072012
1711282364.77819,1032930637,-832,771,-14.0608352486051,13.0299326642723
1711282364.78903,1032930648,-596,778,-10.0724252502027,13.1482329608351
1711282364.79922,1032930658,-466,818,-7.87541974260817,13.8242346554796
1711282364.80901,1032930668,-403,850,-6.81071707354312,14.3650360111952
1711282364.81879,1032930678,-378,840,-6.38821601439032,14.196035587534
1711282364.82854,1032930687,-381,844,-6.43891614148866,14.2636357569985
1711282364.83823,1032930697,-381,833,-6.43891614148866,14.0777352909713
1711282364.84921,1032930708,-376,823,-6.3544159296581,13.9087348673101
1711282364.85899,1032930718,-383,821,-6.47271622622088,13.8749347825779
1711282364.86877,1032930728,-372,805,-6.28681576019365,13.6045341047201
1711282364.87855,1032930737,-376,808,-6.3544159296581,13.6552342318185
1711282364.88831,1032930747,-378,807,-6.38821601439032,13.6383341894523
1711282364.89811,1032930757,-385,813,-6.5065163109531,13.739734443649
1711282364.90907,1032930768,-397,824,-6.70931681934645,13.9256349096763
1711282364.91887,1032930778,-301,755,-5.0869127521997,12.7595319864145
1711282364.92863,1032930788,-39,554,-0.659101652278366,9.36262347082602
1711282364.93837,1032930797,119,470,2.01110504156732,7.94301991207262
1711282364.94812,1032930807,186,425,3.14340788009682,7.18251800559758
1711282364.95905,1032930818,84,487,1.4196035587534,8.23032063229652
1711282364.9688,1032930828,-135,635,-2.28150571942511,10.7315269024811
1711282364.97856,1032930837,-446,836,-7.53741889528593,14.1284354180696
1711282364.98827,1032930847,-850,1064,-14.3650360111952,17.9816450775431
1711282364.99886,1032930858,-1277,1305,-21.581354101525,22.0545552877761
1711282365.00915,1032930868,-1548,1419,-26.1612655827413,23.9811601175129
1711282365.01894,1032930878,-1644,1441,-27.7836696498881,24.3529610495673
1711282365.02867,1032930888,-1610,1416,-27.2090682094403,23.9304599904145
1711282365.03842,1032930897,-1605,1413,-27.1245679976097,23.8797598633162
1711282365.04817,1032930907,-1611,1410,-27.2259682518064,23.8290597362179
1711282365.05911,1032930918,-1612,1404,-27.2428682941725,23.7276594820212
1711282365.06886,1032930928,-1619,1407,-27.3611685907353,23.7783596091195
1711282365.07862,1032930937,-1626,1412,-27.479468887298,23.8628598209501
1711282365.08837,1032930947,-1632,1414,-27.5808691414947,23.8966599056823
1711282365.09813,1032930957,-1633,1412,-27.5977691838608,23.8628598209501
1711282365.10922,1032930968,-1638,1412,-27.6822693956914,23.8628598209501
1711282365.11896,1032930978,-1643,1417,-27.7667696075219,23.9473600327806
1711282365.12868,1032930988,-1649,1419,-27.8681698617186,23.9811601175129
1711282365.1384,1032930997,-1654,1422,-27.9526700735492,24.0318602446112
1711282365.14821,1032931007,-1653,1424,-27.9357700311831,24.0656603293434
