t1,t2,gazeXYPix_1,gazeXYPix_2,gazeXYDeg_1,gazeXYDeg_2
1711035953.57309,786524059,-46,668,-0.77740194884115,11.2892283005628
1711035953.58219,786524068,201,1053,3.3969085155885,17.7957446115159
1711035953.59216,786524078,434,1336,7.33461838689259,22.5784566011256
1711035953.60191,786524088,434,1329,7.33461838689259,22.4601563045628
1711035953.61165,786524098,414,1308,6.99661753957035,22.1052554148744
1711035953.62173,786524108,460,1350,7.7740194884115,22.8150571942511
1711035953.63136,786524117,447,1335,7.55431893765205,22.5615565587595
1711035953.64217,786524128,434,1317,7.33461838689259,22.2573557961694
1711035953.65178,786524138,420,1297,7.09801779376702,21.9193549488472
1711035953.66139,786524147,408,1281,6.89521728537368,21.6489542709894
1711035953.67235,786524158,396,1267,6.69241677698033,21.4123536778639
1711035953.68219,786524168,390,1263,6.59101652278366,21.3447535083994
1711035953.69196,786524178,383,1256,6.47271622622088,21.2264532118366
1711035953.70175,786524188,372,1243,6.28681576019365,21.0067526610772
1711035953.71137,786524197,369,1240,6.23611563309531,20.9560525339788
1711035953.72216,786524208,358,1228,6.05021516706808,20.7532520255855
1711035953.73173,786524218,351,1219,5.9319148705053,20.6011516442905
1711035953.7416,786524228,347,1214,5.86431470104085,20.5166514324599
1711035953.75137,786524237,344,1141,5.81361457394251,19.2829483397337
1711035953.76236,786524248,422,1036,7.13181787849925,17.508443891292
1711035953.77213,786524258,513,973,8.66972173381543,16.4437412222269
1711035953.78193,786524268,526,941,8.88942228457489,15.9029398665114
1711035953.79158,786524278,519,942,8.77112198801211,15.9198399088775
1711035953.80237,786524288,516,953,8.72042186091377,16.1057403749047
1711035953.81197,786524298,506,947,8.55142143725265,16.004340120708
1711035953.82155,786524307,512,958,8.65282169144932,16.1902405867353
1711035953.83235,786524318,506,956,8.55142143725265,16.156440502003
1711035953.84194,786524328,512,961,8.65282169144932,16.2409407138336
1711035953.85154,786524337,514,961,8.68662177618155,16.2409407138336
1711035953.86235,786524348,509,952,8.60212156435099,16.0888403325386
1711035953.87194,786524358,504,947,8.51762135252043,16.004340120708
1711035953.88154,786524367,497,940,8.39932105595764,15.8860398241452
1711035953.89232,786524378,493,933,8.33172088649319,15.7677395275825
1711035953.90191,786524388,489,932,8.26412071702875,15.7508394852163
