t1,t2,gazeXYPix_1,gazeXYPix_2,gazeXYDeg_1,gazeXYDeg_2
1718366221.9866,74327535,-18,511,-0.304200762590015,8.63592164908321
1718366221.99639,74327545,-20,511,-0.338000847322239,8.63592164908321
1718366222.00238,74327551,-24,505,-0.405601016786687,8.53452139488654
1718366222.01153,74327560,-26,503,-0.439401101518911,8.50072131015432
1718366222.02334,74327572,-29,500,-0.490101228617247,8.45002118305598
1718366222.03199,74327581,-5,503,-0.0845002118305598,8.50072131015432
1718366222.04212,74327591,41,493,0.69290173701059,8.33172088649319
1718366222.05212,74327601,72,534,1.21680305036006,9.02462262350378
1718366222.0617,74327611,102,561,1.72380432134342,9.48092376738881
1718366222.07214,74327621,107,581,1.80830453317398,9.81892461471105
1718366222.08149,74327631,106,579,1.79140449080787,9.78512452997882
1718366222.09215,74327641,187,647,3.16030792246294,10.9343274108744
1718366222.10214,74327651,254,694,4.29261076099244,11.7286294020817
1718366222.11184,74327661,334,736,5.64461415028139,12.4384311814584
1718366222.12142,74327670,375,776,6.33751588729198,13.1144328761029
1718366222.13231,74327681,364,771,6.15161542126475,13.0299326642723
1718366222.14204,74327691,365,767,6.16851546363086,12.9623324948079
1718366222.15233,74327701,373,778,6.30371580255976,13.1482329608351
1718366222.16203,74327711,370,775,6.25301567546142,13.0975328337368
1718366222.17231,74327721,370,774,6.25301567546142,13.0806327913707
1718366222.18246,74327731,366,771,6.18541550599698,13.0299326642723
1718366222.19214,74327741,363,765,6.13471537889864,12.9285324100756
1718366222.20211,74327751,365,768,6.16851546363086,12.979232537174
1718366222.21248,74327761,364,765,6.15161542126475,12.9285324100756
1718366222.22219,74327771,367,766,6.20231554836309,12.9454324524418
1718366222.2325,74327782,366,762,6.18541550599698,12.8778322829773
1718366222.24199,74327791,368,764,6.2192155907292,12.9116323677095
1718366222.25252,74327802,368,766,6.2192155907292,12.9454324524418
1718366222.26251,74327812,367,761,6.20231554836309,12.8609322406112
1718366222.2725,74327822,366,758,6.18541550599698,12.8102321135129
1718366222.28233,74327831,362,754,6.11781533653253,12.7426319440484
1718366222.2918,74327841,360,753,6.08401525180031,12.7257319016823
1718366222.30169,74327851,363,753,6.13471537889864,12.7257319016823
1718366222.31255,74327862,363,752,6.13471537889864,12.7088318593162
1718366222.32237,74327871,376,760,6.3544159296581,12.8440321982451
1718366222.33239,74327881,401,762,6.7769169888109,12.8778322829773
1718366222.34207,74327891,406,757,6.86141720064145,12.7933320711468
1718366222.35181,74327901,402,759,6.79381703117701,12.827132155879
1718366222.36221,74327911,401,758,6.7769169888109,12.8102321135129
1718366222.37236,74327921,402,758,6.79381703117701,12.8102321135129
1718366222.38138,74327930,406,758,6.86141720064145,12.8102321135129
1718366222.39159,74327941,402,758,6.79381703117701,12.8102321135129
1718366222.40155,74327951,402,757,6.79381703117701,12.7933320711468
1718366222.41165,74327961,404,758,6.82761711590923,12.8102321135129
1718366222.42259,74327972,406,758,6.86141720064145,12.8102321135129
1718366222.43225,74327981,406,758,6.86141720064145,12.8102321135129
1718366222.44221,74327991,408,759,6.89521728537368,12.827132155879
1718366222.45185,74328001,408,761,6.89521728537368,12.8609322406112
1718366222.46227,74328011,409,761,6.91211732773979,12.8609322406112
1718366222.4717,74328021,407,759,6.87831724300757,12.827132155879
1718366222.48238,74328031,409,761,6.91211732773979,12.8609322406112
1718366222.49205,74328041,408,760,6.89521728537368,12.8440321982451
