t1,t2,gazeXYPix_1,gazeXYPix_2,gazeXYDeg_1,gazeXYDeg_2
1718202629.81499,6801297,-351,860,-5.9319148705053,14.5340364348563
1718202629.82457,6801307,-348,859,-5.88121474340696,14.5171363924902
1718202629.82998,6801312,-349,860,-5.89811478577307,14.5340364348563
1718202629.84108,6801323,-347,860,-5.86431470104085,14.5340364348563
1718202629.85108,6801333,-347,862,-5.86431470104085,14.5678365195885
1718202629.86032,6801343,-349,860,-5.89811478577307,14.5340364348563
1718202629.87089,6801353,-346,861,-5.84741465867474,14.5509364772224
1718202629.87996,6801362,-345,865,-5.83051461630863,14.6185366466868
1718202629.89065,6801373,-344,863,-5.81361457394251,14.5847365619546
1718202629.89979,6801382,-343,864,-5.7967145315764,14.6016366043207
1718202629.91006,6801392,-348,861,-5.88121474340696,14.5509364772224
1718202629.92033,6801403,-344,861,-5.81361457394251,14.5509364772224
1718202629.93059,6801413,-285,828,-4.81651207434191,13.9932350791407
1718202629.94086,6801423,-504,306,-8.51762135252043,5.17141296403026
1718202629.94987,6801432,-2560,1440,-43.2641084572466,24.3360610072012
1718202629.96042,6801443,-2560,1440,-43.2641084572466,24.3360610072012
1718202629.9707,6801453,-2560,1440,-43.2641084572466,24.3360610072012
1718202629.98096,6801463,-2560,1440,-43.2641084572466,24.3360610072012
1718202629.99014,6801472,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.00101,6801483,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.01019,6801493,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.02064,6801503,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.02982,6801512,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.0403,6801523,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.05081,6801533,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.05999,6801542,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.07041,6801553,-2560,1440,-43.2641084572466,24.3360610072012
1718202630.08098,6801563,338,-505,5.71221431974584,-8.53452139488654
1718202630.09002,6801572,349,-314,5.89811478577307,-5.30661330295915
1718202630.10031,6801583,-38,-115,-0.642201609912254,-1.94350487210288
1718202630.11078,6801593,-16,-1,-0.270400677857791,-0.016900042366112
1718202630.11991,6801602,-25,44,-0.422501059152799,0.743601864108926
1718202630.13055,6801613,-37,53,-0.625301567546142,0.895702245403934
1718202630.14104,6801623,-41,53,-0.69290173701059,0.895702245403934
1718202630.15029,6801633,-42,51,-0.709801779376702,0.86190216067171
1718202630.16074,6801643,-40,46,-0.676001694644478,0.77740194884115
1718202630.16982,6801652,-35,47,-0.591501482813918,0.794301991207262
1718202630.18035,6801663,-35,44,-0.591501482813918,0.743601864108926
1718202630.19086,6801673,-34,44,-0.574601440447807,0.743601864108926
1718202630.20002,6801682,-34,45,-0.574601440447807,0.760501906475038
1718202630.21052,6801693,-35,46,-0.591501482813918,0.77740194884115
1718202630.22097,6801703,-34,49,-0.574601440447807,0.828102075939486
1718202630.23013,6801712,-36,46,-0.60840152518003,0.77740194884115
1718202630.24059,6801723,-34,48,-0.574601440447807,0.811202033573374
1718202630.24976,6801732,-37,50,-0.625301567546142,0.845002118305598
1718202630.26022,6801743,-39,49,-0.659101652278366,0.828102075939486
1718202630.27066,6801753,-39,50,-0.659101652278366,0.845002118305598
