t1,t2,gazeXYPix_1,gazeXYPix_2,gazeXYDeg_1,gazeXYDeg_2
1717931083.83991,508224293,30,231,0.507001270983359,3.90390978657186
1717931083.8492,508224302,35,240,0.591501482813918,4.05601016786687
1717931083.8558,508224309,37,241,0.625301567546142,4.07291021023298
1717931083.86553,508224319,39,242,0.659101652278366,4.08981025259909
1717931083.87696,508224330,43,242,0.726701821742814,4.08981025259909
1717931083.88616,508224339,47,246,0.794301991207262,4.15741042206354
1717931083.89535,508224349,48,247,0.811202033573374,4.17431046442965
1717931083.90594,508224359,48,246,0.811202033573374,4.15741042206354
1717931083.91519,508224368,46,245,0.77740194884115,4.14051037969743
1717931083.92577,508224379,43,243,0.726701821742814,4.10671029496521
1717931083.93622,508224389,43,242,0.726701821742814,4.08981025259909
1717931083.94536,508224399,43,239,0.726701821742814,4.03911012550076
1717931083.9558,508224409,44,238,0.743601864108926,4.02221008313465
1717931083.96499,508224418,30,247,0.507001270983359,4.17431046442965
1717931083.97547,508224429,-5,270,-0.0845002118305598,4.56301143885023
1717931083.98586,508224439,3,318,0.0507001270983359,5.3742134724236
1717931083.99497,508224448,16,348,0.270400677857791,5.88121474340696
1717931084.00543,508224459,10,335,0.16900042366112,5.66151419264751
1717931084.01589,508224469,11,335,0.185900466027232,5.66151419264751
1717931084.02502,508224478,7,332,0.118300296562784,5.61081406554917
1717931084.03543,508224489,9,332,0.152100381295008,5.61081406554917
1717931084.04579,508224499,7,329,0.118300296562784,5.56011393845083
1717931084.05612,508224509,6,327,0.101400254196672,5.52631385371861
1717931084.06519,508224518,7,328,0.118300296562784,5.54321389608472
1717931084.07554,508224529,7,325,0.118300296562784,5.49251376898639
1717931084.08606,508224539,11,327,0.185900466027232,5.52631385371861
1717931084.0952,508224548,13,329,0.219700550759455,5.56011393845083
1717931084.10564,508224559,13,329,0.219700550759455,5.56011393845083
1717931084.11601,508224569,12,329,0.202800508393343,5.56011393845083
1717931084.12631,508224579,13,330,0.219700550759455,5.57701398081695
1717931084.13546,508224589,13,330,0.219700550759455,5.57701398081695
1717931084.14589,508224599,14,329,0.236600593125567,5.56011393845083
1717931084.15502,508224608,12,326,0.202800508393343,5.5094138113525
1717931084.16546,508224619,-15,296,-0.253500635491679,5.00241254036914
1717931084.17588,508224629,-28,258,-0.473201186251135,4.36021093045689
1717931084.185,508224638,-37,237,-0.625301567546142,4.00531004076853
1717931084.19547,508224649,-33,246,-0.557701398081695,4.15741042206354
1717931084.20596,508224659,-34,245,-0.574601440447807,4.14051037969743
1717931084.21523,508224668,-35,244,-0.591501482813918,4.12361033733132
1717931084.22577,508224679,-36,245,-0.60840152518003,4.14051037969743
1717931084.23626,508224689,-37,244,-0.625301567546142,4.12361033733132
1717931084.24543,508224699,-36,245,-0.60840152518003,4.14051037969743
1717931084.25588,508224709,-36,246,-0.60840152518003,4.15741042206354
1717931084.26507,508224718,-38,242,-0.642201609912254,4.08981025259909
1717931084.27555,508224729,-36,244,-0.60840152518003,4.12361033733132
1717931084.28598,508224739,-39,242,-0.659101652278366,4.08981025259909
1717931084.29516,508224748,-36,243,-0.60840152518003,4.10671029496521
1717931084.30558,508224759,-40,240,-0.676001694644478,4.05601016786687
1717931084.31606,508224769,-38,242,-0.642201609912254,4.08981025259909
1717931084.32523,508224778,-37,244,-0.625301567546142,4.12361033733132
1717931084.33558,508224789,-33,246,-0.557701398081695,4.15741042206354
1717931084.34566,508224799,-35,246,-0.591501482813918,4.15741042206354
1717931084.3557,508224809,-36,244,-0.60840152518003,4.12361033733132
1717931084.36575,508224819,-35,246,-0.591501482813918,4.15741042206354
1717931084.37583,508224829,-37,244,-0.625301567546142,4.12361033733132
1717931084.38592,508224839,-37,244,-0.625301567546142,4.12361033733132
1717931084.39597,508224849,-36,244,-0.60840152518003,4.12361033733132
1717931084.40538,508224859,-36,244,-0.60840152518003,4.12361033733132
1717931084.41584,508224869,-35,246,-0.591501482813918,4.15741042206354
1717931084.425,508224878,-35,245,-0.591501482813918,4.14051037969743
1717931084.43559,508224889,-34,245,-0.574601440447807,4.14051037969743
1717931084.44617,508224899,-33,243,-0.557701398081695,4.10671029496521
1717931084.45556,508224909,-15,198,-0.253500635491679,3.34620838849017
1717931084.46583,508224919,13,125,0.219700550759455,2.11250529576399
1717931084.47613,508224929,13,84,0.219700550759455,1.4196035587534
1717931084.48517,508224938,9,99,0.152100381295008,1.67310419424508
1717931084.49539,508224949,11,89,0.185900466027232,1.50410377058396
1717931084.50568,508224959,12,93,0.202800508393343,1.57170394004841
1717931084.516,508224969,10,93,0.16900042366112,1.57170394004841
1717931084.52621,508224979,9,93,0.152100381295008,1.57170394004841
1717931084.53516,508224988,9,91,0.152100381295008,1.53790385531619
1717931084.54543,508224999,11,92,0.185900466027232,1.5548038976823
1717931084.55582,508225009,11,93,0.185900466027232,1.57170394004841
1717931084.56588,508225019,11,95,0.185900466027232,1.60550402478064
1717931084.57593,508225029,11,94,0.185900466027232,1.58860398241452
1717931084.58601,508225039,13,96,0.219700550759455,1.62240406714675
1717931084.59601,508225049,14,95,0.236600593125567,1.60550402478064
1717931084.60605,508225059,13,95,0.219700550759455,1.60550402478064
1717931084.61497,508225068,15,97,0.253500635491679,1.63930410951286
1717931084.62515,508225078,16,97,0.270400677857791,1.63930410951286
1717931084.63524,508225088,16,97,0.270400677857791,1.63930410951286
1717931084.64536,508225099,17,98,0.287300720223903,1.65620415187897
1717931084.65539,508225109,16,97,0.270400677857791,1.63930410951286
1717931084.66541,508225119,15,94,0.253500635491679,1.58860398241452
1717931084.67552,508225129,16,93,0.270400677857791,1.57170394004841
1717931084.6862,508225139,16,92,0.270400677857791,1.5548038976823
1717931084.69549,508225149,15,89,0.253500635491679,1.50410377058396
1717931084.70594,508225159,15,93,0.253500635491679,1.57170394004841
1717931084.71514,508225168,14,91,0.236600593125567,1.53790385531619
1717931084.72548,508225179,15,92,0.253500635491679,1.5548038976823
1717931084.73571,508225189,17,93,0.287300720223903,1.57170394004841
1717931084.74602,508225199,16,93,0.270400677857791,1.57170394004841
1717931084.75499,508225208,19,95,0.321100804956127,1.60550402478064
1717931084.76545,508225219,17,93,0.287300720223903,1.57170394004841
1717931084.776,508225229,16,93,0.270400677857791,1.57170394004841
1717931084.78508,508225238,16,92,0.270400677857791,1.5548038976823
1717931084.79537,508225249,16,93,0.270400677857791,1.57170394004841
1717931084.80557,508225259,18,93,0.304200762590015,1.57170394004841
1717931084.81583,508225269,16,93,0.270400677857791,1.57170394004841
1717931084.82616,508225279,19,95,0.321100804956127,1.60550402478064
1717931084.83522,508225288,19,96,0.321100804956127,1.62240406714675
1717931084.84559,508225299,18,99,0.304200762590015,1.67310419424508
1717931084.85585,508225309,21,99,0.354900889688351,1.67310419424508
1717931084.86609,508225319,26,108,0.439401101518911,1.82520457554009
1717931084.87521,508225328,25,115,0.422501059152799,1.94350487210288
1717931084.88548,508225339,13,101,0.219700550759455,1.70690427897731
1717931084.89571,508225349,-6,40,-0.101400254196672,0.676001694644478
1717931084.90597,508225359,-45,-112,-0.760501906475038,-1.89280474500454
1717931084.91507,508225368,56,-381,0.94640237250227,-6.43891614148866
1717931084.92514,508225378,406,-752,6.86141720064145,-12.7088318593162
1717931084.93523,508225388,-2560,1440,-43.2641084572466,24.3360610072012
1717931084.94568,508225399,-2560,1440,-43.2641084572466,24.3360610072012
1717931084.95587,508225409,-2560,1440,-43.2641084572466,24.3360610072012
1717931084.96618,508225419,-2560,1440,-43.2641084572466,24.3360610072012
1717931084.975,508225428,-2560,1440,-43.2641084572466,24.3360610072012
1717931084.98539,508225439,-2560,1440,-43.2641084572466,24.3360610072012
1717931084.99552,508225449,-2560,1440,-43.2641084572466,24.3360610072012
1717931085.00607,508225459,-2560,1440,-43.2641084572466,24.3360610072012
1717931085.01515,508225468,-2560,1440,-43.2641084572466,24.3360610072012
1717931085.02552,508225479,-2560,1440,-43.2641084572466,24.3360610072012
1717931085.0358,508225489,554,-887,9.36262347082602,-14.9903375787413
1717931085.04606,508225499,336,-678,5.67841423501362,-11.4582287242239
1717931085.05509,508225508,149,-515,2.51810631255068,-8.70352181854766
1717931085.06533,508225519,90,-389,1.52100381295008,-6.57411648041755
1717931085.07562,508225529,106,-287,1.79140449080787,-4.85031215907413
1717931085.08599,508225539,89,-207,1.50410377058396,-3.49830876978518
1717931085.09544,508225549,82,-147,1.38580347402118,-2.48430622781846
1717931085.10616,508225559,84,-88,1.4196035587534,-1.48720372821785
1717931085.11516,508225568,85,-43,1.43650360111952,-0.726701821742814
1717931085.12563,508225579,82,-1,1.38580347402118,-0.016900042366112
1717931085.13595,508225589,79,19,1.33510334692284,0.321100804956127
1717931085.14626,508225599,76,35,1.28440321982451,0.591501482813918
1717931085.15553,508225609,75,49,1.2675031774584,0.828102075939486
1717931085.16604,508225619,78,61,1.31820330455673,1.03090258433283
1717931085.1752,508225628,81,69,1.36890343165507,1.16610292326173
1717931085.18561,508225639,78,71,1.31820330455673,1.19990300799395
1717931085.19603,508225649,72,76,1.21680305036006,1.28440321982451
1717931085.20541,508225659,67,81,1.1323028385295,1.36890343165507
1717931085.21571,508225669,64,84,1.08160271143117,1.4196035587534
1717931085.22598,508225679,60,84,1.01400254196672,1.4196035587534
1717931085.23623,508225689,59,84,0.997102499600605,1.4196035587534
1717931085.24521,508225698,57,80,0.963302414868382,1.35200338928896
1717931085.25559,508225709,56,82,0.94640237250227,1.38580347402118
1717931085.26587,508225719,53,82,0.895702245403934,1.38580347402118
1717931085.27615,508225729,52,82,0.878802203037822,1.38580347402118
1717931085.28515,508225738,53,81,0.895702245403934,1.36890343165507
1717931085.29541,508225749,53,77,0.895702245403934,1.30130326219062
1717931085.30567,508225759,54,75,0.912602287770046,1.2675031774584
1717931085.31593,508225769,53,75,0.895702245403934,1.2675031774584
1717931085.32618,508225779,55,76,0.929502330136158,1.28440321982451
1717931085.33517,508225788,53,77,0.895702245403934,1.30130326219062
1717931085.34543,508225799,50,79,0.845002118305598,1.33510334692284
1717931085.35568,508225809,51,79,0.86190216067171,1.33510334692284
1717931085.36594,508225819,52,80,0.878802203037822,1.35200338928896
1717931085.3762,508225829,53,81,0.895702245403934,1.36890343165507
1717931085.38518,508225838,51,82,0.86190216067171,1.38580347402118
1717931085.39544,508225849,52,81,0.878802203037822,1.36890343165507
1717931085.40571,508225859,51,80,0.86190216067171,1.35200338928896
1717931085.41599,508225869,53,80,0.895702245403934,1.35200338928896
1717931085.42498,508225878,55,77,0.929502330136158,1.30130326219062
1717931085.43526,508225889,54,75,0.912602287770046,1.2675031774584
1717931085.44556,508225899,54,75,0.912602287770046,1.2675031774584
