t1,t2,gazeXYPix_1,gazeXYPix_2,gazeXYDeg_1,gazeXYDeg_2
1718024444.64735,601583270,40,78,0.676001694644478,1.31820330455673
1718024444.65672,601583280,41,78,0.69290173701059,1.31820330455673
1718024444.66336,601583286,43,79,0.726701821742814,1.33510334692284
1718024444.67312,601583296,40,80,0.676001694644478,1.35200338928896
1718024444.68337,601583306,38,80,0.642201609912254,1.35200338928896
1718024444.69262,601583316,36,81,0.60840152518003,1.36890343165507
1718024444.70311,601583326,36,81,0.60840152518003,1.36890343165507
1718024444.71354,601583337,32,82,0.540801355715583,1.38580347402118
1718024444.72282,601583346,37,83,0.625301567546142,1.40270351638729
1718024444.73339,601583356,33,85,0.557701398081695,1.43650360111952
1718024444.7426,601583366,-21,114,-0.354900889688351,1.92660482973676
1718024444.75306,601583376,-19,156,-0.321100804956127,2.63640660911347
1718024444.7635,601583387,-28,150,-0.473201186251135,2.53500635491679
1718024444.77265,601583396,-26,148,-0.439401101518911,2.50120627018457
1718024444.78311,601583406,-24,149,-0.405601016786687,2.51810631255068
1718024444.7936,601583417,-24,153,-0.405601016786687,2.58570648201513
1718024444.8028,601583426,-28,151,-0.473201186251135,2.55190639728291
1718024444.81323,601583436,-27,152,-0.456301143885023,2.56880643964902
1718024444.82236,601583445,-29,151,-0.490101228617247,2.55190639728291
1718024444.83278,601583456,-26,153,-0.439401101518911,2.58570648201513
1718024444.8432,601583466,-26,153,-0.439401101518911,2.58570648201513
1718024444.85238,601583475,-27,153,-0.456301143885023,2.58570648201513
1718024444.86283,601583486,-27,154,-0.456301143885023,2.60260652438124
1718024444.87321,601583496,-28,154,-0.473201186251135,2.60260652438124
1718024444.88236,601583505,-25,153,-0.422501059152799,2.58570648201513
1718024444.89275,601583516,-26,154,-0.439401101518911,2.60260652438124
1718024444.9031,601583526,-24,159,-0.405601016786687,2.6871067362118
1718024444.91344,601583537,-16,210,-0.270400677857791,3.54900889688351
1718024444.92251,601583546,-19,202,-0.321100804956127,3.41380855795462
1718024444.93284,601583556,-25,200,-0.422501059152799,3.38000847322239
1718024444.94318,601583566,-20,201,-0.338000847322239,3.3969085155885
1718024444.95351,601583577,-19,207,-0.321100804956127,3.49830876978518
1718024444.96258,601583586,-18,204,-0.304200762590015,3.44760864268684
1718024444.97292,601583596,-19,204,-0.321100804956127,3.44760864268684
1718024444.98324,601583606,-17,206,-0.287300720223903,3.48140872741906
