t1,t2,gazeXYPix_1,gazeXYPix_2,gazeXYDeg_1,gazeXYDeg_2
1718380684.18215,88789466,219,-62,3.70110927817852,-1.04780262669894
1718380684.19124,88789476,227,67,3.83630961710741,1.1323028385295
1718380684.20034,88789485,238,170,4.02221008313465,2.87300720223903
1718380684.21056,88789495,240,271,4.05601016786687,4.57991148121634
1718380684.22076,88789505,242,343,4.08981025259909,5.7967145315764
1718380684.23122,88789516,244,414,4.12361033733132,6.99661753957035
1718380684.24044,88789525,250,464,4.22501059152799,7.84161965787595
1718380684.25115,88789535,253,512,4.27571071862632,8.65282169144932
1718380684.26139,88789546,256,551,4.32641084572466,9.31192334372769
1718380684.27038,88789555,257,573,4.34331088809077,9.68372427578215
1718380684.28064,88789565,258,596,4.36021093045689,10.0724252502027
1718380684.2909,88789575,260,611,4.39401101518911,10.3259258856944
1718380684.30115,88789585,260,619,4.39401101518911,10.4611262246233
1718380684.31139,88789596,259,622,4.377110972823,10.5118263517216
1718380684.32047,88789605,256,622,4.32641084572466,10.5118263517216
1718380684.33054,88789615,254,621,4.29261076099244,10.4949263093555
1718380684.34059,88789625,252,619,4.25881067626021,10.4611262246233
1718380684.35065,88789635,248,612,4.19121050679577,10.3428259280605
1718380684.3607,88789645,248,611,4.19121050679577,10.3259258856944
1718380684.37074,88789655,248,613,4.19121050679577,10.3597259704266
1718380684.38082,88789665,249,610,4.20811054916188,10.3090258433283
1718380684.39089,88789675,248,609,4.19121050679577,10.2921258009622
1718380684.40096,88789685,249,608,4.20811054916188,10.2752257585961
1718380684.41102,88789695,248,608,4.19121050679577,10.2752257585961
1718380684.42069,88789705,249,609,4.20811054916188,10.2921258009622
1718380684.43078,88789715,248,608,4.19121050679577,10.2752257585961
1718380684.44067,88789725,248,609,4.19121050679577,10.2921258009622
1718380684.45052,88789735,245,609,4.14051037969743,10.2921258009622
1718380684.46047,88789745,246,609,4.15741042206354,10.2921258009622
1718380684.47035,88789755,245,609,4.14051037969743,10.2921258009622
1718380684.48058,88789765,234,603,3.9546099136702,10.1907255467655
1718380684.49107,88789775,184,594,3.1096077953646,10.0386251654705
1718380684.50117,88789786,172,588,2.90680728697126,9.93722491127383
1718380684.51127,88789796,172,589,2.90680728697126,9.95412495363994
1718380684.52132,88789806,172,588,2.90680728697126,9.93722491127383
1718380684.53137,88789816,172,588,2.90680728697126,9.93722491127383
1718380684.54146,88789826,169,587,2.85610715987292,9.92032486890772
1718380684.55042,88789835,171,586,2.88990724460514,9.90342482654161
1718380684.5606,88789845,171,583,2.88990724460514,9.85272469944327
1718380684.57088,88789855,171,586,2.88990724460514,9.90342482654161
1718380684.58033,88789865,170,585,2.87300720223903,9.8865247841755
1718380684.59148,88789876,169,581,2.85610715987292,9.81892461471105
1718380684.60132,88789886,169,581,2.85610715987292,9.81892461471105
1718380684.61128,88789896,166,582,2.80540703277459,9.83582465707716
1718380684.62116,88789906,166,583,2.80540703277459,9.85272469944327
1718380684.63101,88789915,167,583,2.8223070751407,9.85272469944327
1718380684.64096,88789925,164,567,2.77160694804236,9.58232402158548
1718380684.65115,88789936,73,429,1.23370309272617,7.25011817506203
1718380684.66105,88789945,8,274,0.135200338928896,4.63061160831468
1718380684.67095,88789955,11,112,0.185900466027232,1.89280474500454
1718380684.68084,88789965,24,62,0.405601016786687,1.04780262669894
1718380684.69077,88789975,29,64,0.490101228617247,1.08160271143117
1718380684.70058,88789985,29,60,0.490101228617247,1.01400254196672
1718380684.71067,88789995,28,62,0.473201186251135,1.04780262669894
1718380684.72063,88790005,25,64,0.422501059152799,1.08160271143117
1718380684.7305,88790015,25,67,0.422501059152799,1.1323028385295
1718380684.74044,88790025,24,66,0.405601016786687,1.11540279616339
1718380684.75032,88790035,26,68,0.439401101518911,1.14920288089561
1718380684.76144,88790046,27,69,0.456301143885023,1.16610292326173
1718380684.77126,88790056,26,68,0.439401101518911,1.14920288089561
1718380684.78117,88790066,28,68,0.473201186251135,1.14920288089561
1718380684.79113,88790075,26,68,0.439401101518911,1.14920288089561
1718380684.80106,88790085,26,71,0.439401101518911,1.19990300799395
1718380684.81094,88790095,25,72,0.422501059152799,1.21680305036006
1718380684.82085,88790105,25,71,0.422501059152799,1.19990300799395
1718380684.83078,88790115,25,73,0.422501059152799,1.23370309272617
1718380684.84062,88790125,24,74,0.405601016786687,1.25060313509228
1718380684.85052,88790135,23,72,0.388700974420575,1.21680305036006
1718380684.86036,88790145,24,70,0.405601016786687,1.18300296562784
1718380684.87146,88790156,25,72,0.422501059152799,1.21680305036006
1718380684.88142,88790166,23,70,0.388700974420575,1.18300296562784
1718380684.8913,88790176,25,72,0.422501059152799,1.21680305036006
1718380684.90118,88790186,24,74,0.405601016786687,1.25060313509228
1718380684.91112,88790195,23,75,0.388700974420575,1.2675031774584
1718380684.92038,88790205,33,77,0.557701398081695,1.30130326219062
1718380684.93067,88790215,83,84,1.40270351638729,1.4196035587534
1718380684.94107,88790225,100,101,1.6900042366112,1.70690427897731
1718380684.95148,88790236,105,99,1.77450444844176,1.67310419424508
1718380684.96064,88790245,105,101,1.77450444844176,1.70690427897731
1718380684.97095,88790255,106,100,1.79140449080787,1.6900042366112
1718380684.98137,88790266,106,103,1.79140449080787,1.74070436370953
1718380684.99051,88790275,106,100,1.79140449080787,1.6900042366112
1718380685.00092,88790285,106,101,1.79140449080787,1.70690427897731
1718380685.01143,88790296,106,100,1.79140449080787,1.6900042366112
1718380685.02031,88790305,105,102,1.77450444844176,1.72380432134342
1718380685.03055,88790315,105,99,1.77450444844176,1.67310419424508
1718380685.04083,88790325,105,102,1.77450444844176,1.72380432134342
1718380685.05107,88790335,105,100,1.77450444844176,1.6900042366112
1718380685.0613,88790346,105,99,1.77450444844176,1.67310419424508
1718380685.07041,88790355,105,101,1.77450444844176,1.70690427897731
1718380685.0808,88790365,104,100,1.75760440607564,1.6900042366112
1718380685.0911,88790375,104,100,1.75760440607564,1.6900042366112
1718380685.10148,88790386,105,99,1.77450444844176,1.67310419424508
1718380685.11051,88790395,105,99,1.77450444844176,1.67310419424508
1718380685.12077,88790405,103,100,1.74070436370953,1.6900042366112
1718380685.13112,88790415,103,99,1.74070436370953,1.67310419424508
1718380685.14145,88790426,102,100,1.72380432134342,1.6900042366112
1718380685.15052,88790435,102,100,1.72380432134342,1.6900042366112
1718380685.16079,88790445,101,7,1.70690427897731,0.118300296562784
1718380685.17089,88790455,103,-80,1.74070436370953,-1.35200338928896
1718380685.18096,88790465,102,-101,1.72380432134342,-1.70690427897731
1718380685.191,88790475,106,-99,1.79140449080787,-1.67310419424508
1718380685.20108,88790485,108,-96,1.82520457554009,-1.62240406714675
1718380685.21117,88790496,108,-98,1.82520457554009,-1.65620415187897
1718380685.22123,88790506,108,-95,1.82520457554009,-1.60550402478064
1718380685.23136,88790516,107,-95,1.80830453317398,-1.60550402478064
1718380685.24036,88790525,107,-96,1.80830453317398,-1.62240406714675
1718380685.25052,88790535,107,-95,1.80830453317398,-1.60550402478064
1718380685.26085,88790545,104,-94,1.75760440607564,-1.58860398241452
1718380685.27119,88790555,104,-96,1.75760440607564,-1.62240406714675
1718380685.28147,88790566,102,-95,1.72380432134342,-1.60550402478064
1718380685.29048,88790575,102,-95,1.72380432134342,-1.60550402478064
1718380685.30074,88790585,103,-96,1.74070436370953,-1.62240406714675
1718380685.31106,88790595,102,-97,1.72380432134342,-1.63930410951286
1718380685.32137,88790606,102,-97,1.72380432134342,-1.63930410951286
1718380685.33036,88790615,102,-97,1.72380432134342,-1.63930410951286
1718380685.34061,88790625,103,-96,1.74070436370953,-1.62240406714675
1718380685.3509,88790635,101,-96,1.70690427897731,-1.62240406714675
1718380685.36122,88790646,101,-97,1.70690427897731,-1.63930410951286
1718380685.37149,88790656,101,-96,1.70690427897731,-1.62240406714675
1718380685.38056,88790665,101,-97,1.70690427897731,-1.63930410951286
1718380685.39066,88790675,101,-96,1.70690427897731,-1.62240406714675
1718380685.40078,88790685,102,-97,1.72380432134342,-1.63930410951286
1718380685.41107,88790695,102,-97,1.72380432134342,-1.63930410951286
1718380685.42114,88790706,103,-96,1.74070436370953,-1.62240406714675
1718380685.43122,88790716,105,-96,1.77450444844176,-1.62240406714675
1718380685.44129,88790726,104,-96,1.75760440607564,-1.62240406714675
1718380685.45136,88790736,105,-96,1.77450444844176,-1.62240406714675
1718380685.46145,88790746,104,-96,1.75760440607564,-1.62240406714675
1718380685.47027,88790755,106,-97,1.79140449080787,-1.63930410951286
1718380685.48056,88790765,105,-96,1.77450444844176,-1.62240406714675
1718380685.49086,88790775,104,-97,1.75760440607564,-1.63930410951286
1718380685.50123,88790786,111,-109,1.87590470263843,-1.8421046179062
1718380685.51053,88790795,178,-157,3.00820754116793,-2.65330665147958
1718380685.52083,88790805,214,-182,3.61660906634796,-3.07580771063238
1718380685.53112,88790815,224,-197,3.78560949000908,-3.32930834612406
1718380685.54138,88790826,223,-196,3.76870944764297,-3.31240830375794
1718380685.55034,88790835,224,-195,3.78560949000908,-3.29550826139183
1718380685.56057,88790845,226,-197,3.8194095747413,-3.32930834612406
1718380685.57079,88790855,225,-196,3.80250953237519,-3.31240830375794
1718380685.58105,88790865,225,-197,3.80250953237519,-3.32930834612406
1718380685.59129,88790876,225,-198,3.80250953237519,-3.34620838849017
1718380685.6015,88790886,225,-197,3.80250953237519,-3.32930834612406
1718380685.61046,88790895,226,-196,3.8194095747413,-3.31240830375794
1718380685.62065,88790905,226,-196,3.8194095747413,-3.31240830375794
1718380685.6309,88790915,226,-195,3.8194095747413,-3.29550826139183
1718380685.64157,88790926,225,-196,3.80250953237519,-3.31240830375794
1718380685.65048,88790935,226,-196,3.8194095747413,-3.31240830375794
1718380685.66055,88790945,228,-195,3.85320965947353,-3.29550826139183
1718380685.67065,88790955,226,-196,3.8194095747413,-3.31240830375794
1718380685.68103,88790965,226,-195,3.8194095747413,-3.29550826139183
1718380685.69113,88790976,225,-196,3.80250953237519,-3.31240830375794
1718380685.70126,88790986,226,-195,3.8194095747413,-3.29550826139183
1718380685.71155,88790996,226,-195,3.8194095747413,-3.29550826139183
1718380685.72114,88791005,227,-193,3.83630961710741,-3.26170817665961
1718380685.73147,88791016,227,-193,3.83630961710741,-3.26170817665961
1718380685.74046,88791025,226,-192,3.8194095747413,-3.2448081342935
1718380685.75068,88791035,226,-192,3.8194095747413,-3.2448081342935
1718380685.761,88791045,225,-191,3.80250953237519,-3.22790809192738
1718380685.77148,88791056,227,-192,3.83630961710741,-3.2448081342935
1718380685.78055,88791065,225,-191,3.80250953237519,-3.22790809192738
1718380685.79081,88791075,225,-191,3.80250953237519,-3.22790809192738
1718380685.80123,88791086,227,-189,3.83630961710741,-3.19410800719516
1718380685.81143,88791096,232,-184,3.92080982893797,-3.1096077953646
1718380685.82031,88791105,231,-224,3.90390978657186,-3.78560949000908
1718380685.83041,88791115,211,-486,3.56590893924962,-8.21342058993041
1718380685.84052,88791125,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.85062,88791135,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.86074,88791145,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.87084,88791155,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.88095,88791165,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.89106,88791175,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.90117,88791186,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.91127,88791196,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.9214,88791206,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.93027,88791215,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.94149,88791226,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.95148,88791236,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.96031,88791245,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.9703,88791255,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.98049,88791265,-2560,1440,-43.2641084572466,24.3360610072012
1718380685.99085,88791275,-2560,1440,-43.2641084572466,24.3360610072012
1718380686.00127,88791286,-2560,1440,-43.2641084572466,24.3360610072012
1718380686.01063,88791295,-2560,1440,-43.2641084572466,24.3360610072012
1718380686.02074,88791305,-2560,1440,-43.2641084572466,24.3360610072012
1718380686.03077,88791315,165,-557,2.78850699040847,-9.41332359792436
1718380686.04089,88791325,174,-510,2.94060737170348,-8.6190216067171
1718380686.051,88791335,192,-470,3.2448081342935,-7.94301991207262
1718380686.06113,88791346,198,-419,3.34620838849017,-7.08111775140091
1718380686.07122,88791356,203,-382,3.43070860032073,-6.45581618385477
1718380686.0813,88791366,208,-358,3.51520881215129,-6.05021516706808
1718380686.09033,88791375,213,-333,3.59970902398185,-5.62771410791528
1718380686.10065,88791385,217,-312,3.66730919344629,-5.27281321822693
1718380686.11093,88791395,224,-301,3.78560949000908,-5.0869127521997
1718380686.12119,88791406,225,-283,3.80250953237519,-4.78271198960968
1718380686.13144,88791416,193,-264,3.26170817665961,-4.46161118465356
1718380686.14046,88791425,83,-231,1.40270351638729,-3.90390978657186
1718380686.15069,88791435,-67,-186,-1.1323028385295,-3.14340788009682
1718380686.16098,88791445,-125,-129,-2.11250529576399,-2.18010546522844
1718380686.17129,88791456,-125,-88,-2.11250529576399,-1.48720372821785
1718380686.18032,88791465,-124,-61,-2.09560525339788,-1.03090258433283
1718380686.19063,88791475,-126,-31,-2.12940533813011,-0.523901313349471
1718380686.20088,88791485,-123,-14,-2.07870521103177,-0.236600593125567
1718380686.21115,88791496,-125,-6,-2.11250529576399,-0.101400254196672
1718380686.22139,88791506,-124,2,-2.09560525339788,0.0338000847322239
1718380686.23039,88791515,-122,11,-2.06180516866566,0.185900466027232
1718380686.2407,88791525,-123,16,-2.07870521103177,0.270400677857791
1718380686.25103,88791535,-122,22,-2.06180516866566,0.371800932054463
1718380686.2613,88791546,-120,29,-2.02800508393343,0.490101228617247
1718380686.27152,88791556,-120,34,-2.02800508393343,0.574601440447807
1718380686.28056,88791565,-120,36,-2.02800508393343,0.60840152518003
1718380686.29096,88791575,-121,38,-2.04490512629955,0.642201609912254
1718380686.30129,88791586,-120,40,-2.02800508393343,0.676001694644478
1718380686.3103,88791595,-119,41,-2.01110504156732,0.69290173701059
1718380686.32048,88791605,-119,44,-2.01110504156732,0.743601864108926
1718380686.33083,88791615,-119,46,-2.01110504156732,0.77740194884115
1718380686.34106,88791625,-119,46,-2.01110504156732,0.77740194884115
1718380686.35132,88791636,-120,48,-2.02800508393343,0.811202033573374
1718380686.36029,88791645,-119,47,-2.01110504156732,0.794301991207262
1718380686.37057,88791655,-120,49,-2.02800508393343,0.828102075939486
1718380686.38096,88791665,-120,51,-2.02800508393343,0.86190216067171
1718380686.39123,88791676,-121,53,-2.04490512629955,0.895702245403934
1718380686.40031,88791685,-120,55,-2.02800508393343,0.929502330136158
1718380686.4106,88791695,-120,55,-2.02800508393343,0.929502330136158
1718380686.42087,88791705,-121,55,-2.04490512629955,0.929502330136158
1718380686.43108,88791715,-119,56,-2.01110504156732,0.94640237250227
1718380686.44129,88791726,-121,55,-2.04490512629955,0.929502330136158
1718380686.45029,88791735,-121,56,-2.04490512629955,0.94640237250227
1718380686.46059,88791745,-121,55,-2.04490512629955,0.929502330136158
1718380686.47087,88791755,-121,55,-2.04490512629955,0.929502330136158
1718380686.48122,88791766,-33,72,-0.557701398081695,1.21680305036006
1718380686.49151,88791776,57,91,0.963302414868382,1.53790385531619
1718380686.50049,88791785,95,102,1.60550402478064,1.72380432134342
1718380686.5109,88791795,93,106,1.57170394004841,1.79140449080787
1718380686.52119,88791806,93,106,1.57170394004841,1.79140449080787
1718380686.53148,88791816,94,110,1.58860398241452,1.85900466027232
1718380686.54051,88791825,92,108,1.5548038976823,1.82520457554009
1718380686.5508,88791835,92,110,1.5548038976823,1.85900466027232
1718380686.56105,88791845,91,113,1.53790385531619,1.90970478737065
1718380686.57129,88791856,90,113,1.52100381295008,1.90970478737065
1718380686.5803,88791865,90,114,1.52100381295008,1.92660482973676
1718380686.59059,88791875,88,115,1.48720372821785,1.94350487210288
1718380686.60082,88791885,88,115,1.48720372821785,1.94350487210288
1718380686.61117,88791896,86,120,1.45340364348563,2.02800508393343
1718380686.6215,88791906,86,119,1.45340364348563,2.01110504156732
1718380686.63041,88791915,84,119,1.4196035587534,2.01110504156732
