Subject,Device,ScreenWidth,distanceByBlindspot,GoodThreshold_bool
1,OS X,28.9,50.90224221,1
2,OS X,32.5,49.80200145,1
3,Windows,39,65.18472294,1
4,Windows,37.8,65.74578851,1
5,Windows,36.2,44.99541012,1
6,Windows,30.4,98.63115995,1
7,Windows,30.4,39.8,1
8,Windows,71.6,101.7,1
9,Windows,25.1,83.00135041,1
10,Windows,33.6,52.9630507,1
11,OS X,33.1,87.54764542,1
12,OS X,28.2,44.02666574,1
13,OS X,28.9,51.81812828,1
14,Windows,27.4,46.2626572,1
15,Windows,34.1,53.13829625,1
16,Windows,31.3,31.5972538,1
17,OS X,29.3,47.14530794,1
18,Windows,62.1,48.02805617,1
19,Windows,38.6,50.75109354,1
20,Windows,27.5,64.23623802,1
21,Windows,38.2,58.62572568,1
22,OS X,28.6,41.65507326,1
23,OS X,29.4,46.91006637,1
24,Windows,30.1,60.00673396,1
25,OS X,77.7,85.35235653,1
26,Windows,59.3,53.67047981,1
27,Windows,33.8,43.06454533,1
28,Windows,22.9,45.03437358,1
29,OS X,67.8,97.96056299,1
30,Windows,31.8,51.10926823,1
31,Windows,34.4,113.8896893,1
32,Windows,33.4,86.9,1
33,Windows,51.8,52.83234279,1
34,Windows,52.6,65.95727284,1
35,Windows,34.4,49.36052408,1
36,Windows,35,46.05778498,1
37,Windows,43.4,137.0575947,1
38,Windows,34.3,60.96306767,1
39,Windows,29.6,48.9970704,1
40,Windows,30.7,68.5,1
41,Windows,20.4,53.39387559,1
42,OS X,29.9,49.35330813,1
43,Windows,69.4,83.6,1
44,OS X,34.2,44.34441435,1
45,Windows,34.2,50.28582447,1
46,OS X,28.9,47.37702372,1
47,Linux,54,50.45850994,1
48,Windows,34.8,63.6517648,1
49,Windows,52.3,49.14374443,1
50,Windows,34.5,69.7,1
51,OS X,29.6,63.98037191,1
52,Windows,31.4,54.18585817,1
53,Windows,37.7,55.4983784,1
54,Windows,25.9,84.1,1
55,Windows,34.3,31.55991729,1
56,Windows,29.8,49.79942085,1
57,Windows,29.2,66.5946896,1
58,OS X,29.9,72.50108524,1
59,Windows,29.1,96.25188707,1
60,Windows,34.3,113.9,1
61,OS X,51.2,64.7,1
62,Windows,31.5,65.30162447,1
63,Windows,43.6,63.11961317,1
64,Windows,29.9,98.44204772,1
65,Windows,33.9,45.30790946,1
66,Windows,36.3,40.11954411,1
67,Windows,30.9,41.6033929,1
68,Windows,19.6,34.86877686,1
69,Windows,36.3,56.2808629,1
70,Windows,44,59.11690229,1
71,OS X,28.4,74.47395718,1
72,OS X,31.9,70.64188502,1
73,Windows,53.3,48.33368742,1
74,Windows,33.9,45.92259112,1
75,Windows,78.4,256.3758787,1
76,Windows,58.5,42.63250575,1
77,Linux,34.8,42.7944268,1
78,OS X,33.7,48.37073717,1
79,OS X,29.4,51.42162556,1
80,Windows,32.1,33.21742686,1
81,OS X,52,53.01625123,1
82,Windows,56.3,79.98727572,1
83,OS X,34,47.62622321,1
84,Windows,34.4,47.32292446,1
85,Windows,62.2,96.6,1
86,OS X,28.5,94.14559718,1
87,OS X,24.1,55.95497025,1
88,Windows,30.8,45.5848675,1
89,Windows,16.1,24.17972763,1
90,Windows,33.6,38.6595583,1
91,OS X,50.3,60.77845456,1
92,OS X,34.2,39.37773256,1
93,Windows,33.9,66.11623598,1
94,Windows,52,93.25815189,1
95,Windows,33.8,47.66240725,1
96,OS X,35.2,44.86909381,1
97,Windows,36.6,56.04490736,1
98,OS X,43.4,141.6,1
99,Windows,29.4,37.28228604,1
100,Windows,34.1,45.49646721,1
101,Linux,51.7,69.4941794,1
102,Windows,34.5,44.45174133,1
103,Windows,26.5,87.9854721,1
104,Windows,34.3,113.9,1
105,Windows,30.8,82.24542628,1
106,Chrome OS,30.2,36.52317103,1
107,Windows,29.5,54.97697235,1
108,Windows,29.3,49.61960891,1
