experiment,pavloviaSessionId,posixTimeSec,cursorPositionXYPx,crosshairPositionXYPx,targetPositionXYPx,blockNumber,block_condition,conditionNumber,conditionName,trialNumber,pxPerCm,viewingDistanceCm,screenWidthPx,screenHeightPx,nearpointXYPx,trialStep,targetBool,crosshairBool
trackingdemo5,SpicyYellowCake312,1738627982.443,"787,863","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.481,"787,863","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.494,"787,863","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.51,"787,863","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.552,"787,863","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.57,"787,863","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.586,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.613,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.618,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.635,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.649,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.68,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.698,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.713,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.748,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.762,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.778,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.813,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.828,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.844,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.881,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.894,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.91,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.946,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.954,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.97,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627982.986,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.014,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.017,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.034,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.05,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.081,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.098,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.113,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.149,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.162,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.177,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
trackingdemo5,SpicyYellowCake312,1738627983.214,"746,884","735,459",,1,1_1,1,,1,51.39860139860139,44.7,1470,919,"735,459",importConditions,FALSE,FALSE
